ID,east,north,longitude,latitude
119088,146000,108000,-8.79089203309049,52.2215912812831
119089,146000,109000,-8.79105163481841,52.2305771219764
119090,146000,110000,-8.7912113204263,52.2395629485574
119091,146000,111000,-8.7913710899728,52.248548761027
119092,146000,112000,-8.79153094351657,52.2575345593861
119093,146000,113000,-8.79169088111636,52.2665203436356
119094,146000,114000,-8.79185090283097,52.2755061137766
119095,146000,115000,-8.79201100871924,52.2844918698098
119096,146000,116000,-8.79217119884008,52.2934776117362
119097,146000,117000,-8.79233147325244,52.3024633395568
119098,146000,118000,-8.79249183201536,52.3114490532724
119099,146000,119000,-8.7926522751879,52.320434752884
119100,146000,120000,-8.7928128028292,52.3294204383926
119101,146000,121000,-8.79297341499845,52.338406109799
119102,146000,122000,-8.79313411175489,52.3473917671042
119103,146000,123000,-8.79329489315782,52.3563774103091
119104,146000,124000,-8.79345575926661,52.3653630394147
119105,146000,125000,-8.79361671014068,52.3743486544219
119106,146000,126000,-8.79377774583948,52.3833342553316
119107,146000,127000,-8.79393886642256,52.3923198421447
119108,146000,128000,-8.7941000719495,52.4013054148623
119109,146000,129000,-8.79426136247995,52.4102909734852
119110,146000,130000,-8.79442273807361,52.4192765180144
119111,146000,131000,-8.79458419879023,52.4282620484507
119112,146000,132000,-8.79474574468964,52.4372475647953
119113,146000,133000,-8.79490737583171,52.446233067049
119114,146000,134000,-8.79506909227638,52.4552185552127
119115,146000,135000,-8.79523089408362,52.4642040292874
119116,146000,136000,-8.7953927813135,52.4731894892741
119117,146000,137000,-8.7955547540261,52.4821749351736
119118,146000,138000,-8.7957168122816,52.491160366987
119119,146000,139000,-8.79587895614023,52.5001457847152
119120,146000,140000,-8.79604118566224,52.5091311883592
119121,146000,141000,-8.796203500908,52.5181165779198
119122,146000,142000,-8.79636590193787,52.5271019533981
119123,146000,143000,-8.79652838881233,52.536087314795
119124,146000,144000,-8.79669096159188,52.5450726621114
119125,146000,145000,-8.7968536203371,52.5540579953484
119126,146000,146000,-8.7970163651086,52.5630433145068
119127,146000,147000,-8.79717919596708,52.5720286195877
119128,146000,148000,-8.79734211297329,52.581013910592
119129,146000,149000,-8.79750511618801,52.5899991875206
119130,146000,150000,-8.79766820567213,52.5989844503746
119131,146000,151000,-8.79783138148655,52.6079696991548
119132,146000,152000,-8.79799464369227,52.6169549338623
119133,146000,153000,-8.79815799235031,52.625940154498
119134,146000,154000,-8.79832142752178,52.6349253610629
119135,146000,155000,-8.79848494926783,52.6439105535579
119136,146000,156000,-8.79864855764968,52.652895731984
119137,146000,157000,-8.7988122527286,52.6618808963422
119138,146000,158000,-8.79897603456593,52.6708660466335
119139,146000,159000,-8.79913990322306,52.6798511828588
119140,146000,160000,-8.79930385876145,52.6888363050191
119141,146000,161000,-8.7994679012426,52.6978214131154
119142,146000,162000,-8.79963203072809,52.7068065071487
119143,146000,163000,-8.79979624727955,52.7157915871198
119144,146000,164000,-8.79996055095867,52.7247766530299
119145,146000,165000,-8.8001249418272,52.7337617048798
119146,146000,166000,-8.80028941994697,52.7427467426707
119147,146000,167000,-8.80045398537982,52.7517317664034
119148,146000,168000,-8.8006186381877,52.7607167760788
119149,146000,169000,-8.80078337843259,52.7697017716982
119150,146000,170000,-8.80094820617654,52.7786867532623
119151,146000,171000,-8.80111312148168,52.7876717207721
119152,146000,172000,-8.80127812441016,52.7966566742288
119153,146000,173000,-8.80144321502422,52.8056416136332
119154,146000,174000,-8.80160839338615,52.8146265389864
119155,146000,175000,-8.8017736595583,52.8236114502892
119156,146000,176000,-8.8019390136031,52.8325963475428
119157,146000,177000,-8.802104455583,52.8415812307482
119158,146000,178000,-8.80226998556055,52.8505660999062
119159,146000,179000,-8.80243560359833,52.8595509550179
119160,146000,180000,-8.80260130975901,52.8685357960843
119161,146000,181000,-8.8027671041053,52.8775206231064
119162,146000,182000,-8.80293298669997,52.8865054360853
119163,146000,183000,-8.80309895760588,52.8954902350218
119164,146000,184000,-8.80326501688591,52.9044750199169
119165,146000,185000,-8.80343116460303,52.9134597907718
119166,146000,186000,-8.80359740082026,52.9224445475874
119167,146000,187000,-8.80376372560068,52.9314292903646
119168,146000,188000,-8.80393013900744,52.9404140191046
119169,146000,189000,-8.80409664110375,52.9493987338082
119170,146000,190000,-8.80426323195287,52.9583834344766
119171,146000,191000,-8.80442991161813,52.9673681211106
119172,146000,192000,-8.80459668016293,52.9763527937114
119173,146000,193000,-8.8047635376507,52.9853374522799
119174,146000,194000,-8.80493048414499,52.9943220968172
119175,146000,195000,-8.80509751970935,53.0033067273242
119176,146000,196000,-8.80526464440743,53.012291343802
119177,146000,197000,-8.80543185830293,53.0212759462515
119178,146000,198000,-8.80559916145961,53.0302605346738
119179,146000,199000,-8.8057665539413,53.03924510907
119180,146000,200000,-8.80593403581188,53.048229669441
119181,146000,201000,-8.80610160713531,53.0572142157878
119182,146000,202000,-8.8062692679756,53.0661987481114
119183,146000,203000,-8.80643701839682,53.075183266413
119184,146000,204000,-8.80660485846311,53.0841677706934
119185,146000,205000,-8.80677278823867,53.0931522609538
119186,146000,206000,-8.80694080778776,53.1021367371951
119187,146000,207000,-8.80710891717472,53.1111211994184
119188,146000,208000,-8.80727711646392,53.1201056476246
119189,146000,209000,-8.80744540571983,53.1290900818149
119190,146000,210000,-8.80761378500695,53.1380745019902
119191,146000,211000,-8.80778225438986,53.1470589081517
119192,146000,212000,-8.80795081393322,53.1560433003002
119193,146000,213000,-8.80811946370171,53.1650276784368
119194,146000,214000,-8.80828820376011,53.1740120425626
119195,146000,215000,-8.80845703417325,53.1829963926787
119196,146000,216000,-8.80862595500603,53.1919807287859
119197,146000,217000,-8.8087949663234,53.2009650508854
119198,146000,218000,-8.80896406819038,53.2099493589782
119199,146000,219000,-8.80913326067207,53.2189336530654
119200,146000,220000,-8.80930254383361,53.227917933148
119201,146000,221000,-8.80947191774021,53.2369021992269
119202,146000,222000,-8.80964138245716,53.2458864513033
119203,146000,223000,-8.8098109380498,53.2548706893782
119204,146000,224000,-8.80998058458352,53.2638549134527
119205,146000,225000,-8.81015032212381,53.2728391235277
119206,146000,226000,-8.8103201507362,53.2818233196044
119207,146000,227000,-8.81049007048628,53.2908075016837
119208,146000,228000,-8.81066008143972,53.2997916697667
119209,146000,229000,-8.81083018366225,53.3087758238546
119210,146000,230000,-8.81100037721965,53.3177599639482
119211,146000,231000,-8.8111706621778,53.3267440900487
119212,146000,232000,-8.8113410386026,53.3357282021571
119213,146000,233000,-8.81151150656005,53.3447123002745
119214,146000,234000,-8.8116820661162,53.3536963844019
119215,146000,235000,-8.81185271733717,53.3626804545403
119216,146000,236000,-8.81202346028913,53.3716645106909
119217,146000,237000,-8.81219429503834,53.3806485528547
119218,146000,238000,-8.81236522165111,53.3896325810327
119219,146000,239000,-8.81253624019381,53.3986165952261
119220,146000,240000,-8.81270735073288,53.4076005954357
119221,146000,241000,-8.81287855333485,53.4165845816628
119222,146000,242000,-8.81304984806628,53.4255685539084
119223,146000,243000,-8.81322123499381,53.4345525121735
119224,146000,244000,-8.81339271418414,53.4435364564592
119225,146000,245000,-8.81356428570406,53.4525203867666
119226,146000,246000,-8.81373594962039,53.4615043030967
119227,146000,247000,-8.81390770600004,53.4704882054507
119228,146000,248000,-8.81407955490998,53.4794720938295
119229,146000,249000,-8.81425149641725,53.4884559682342
119230,146000,250000,-8.81442353058894,53.4974398286659
119231,146000,251000,-8.81459565749223,53.5064236751257
119232,146000,252000,-8.81476787719434,53.5154075076147
119233,146000,253000,-8.81494018976259,53.5243913261339
119234,146000,254000,-8.81511259526434,53.5333751306843
119235,146000,255000,-8.81528509376702,53.5423589212672
119236,146000,256000,-8.81545768533813,53.5513426978834
119237,146000,257000,-8.81563037004524,53.5603264605342
119238,146000,258000,-8.81580314795599,53.5693102092207
119239,146000,259000,-8.81597601913807,53.5782939439437
119240,146000,260000,-8.81614898365927,53.5872776647046
119241,146000,261000,-8.8163220415874,53.5962613715043
119242,146000,262000,-8.81649519299037,53.6052450643439
119243,146000,263000,-8.81666843793617,53.6142287432245
119244,146000,264000,-8.81684177649281,53.6232124081472
119245,146000,265000,-8.81701520872841,53.6321960591131
119246,146000,266000,-8.81718873471114,53.6411796961232
