hectad,country,east,north,longitude,latitude
SP70,EN,470000,200000,-0.988641879392071,51.6943950047058
SP71,EN,470000,210000,-0.986633304060294,51.7842919099575
SP72,EN,470000,220000,-0.984614235214295,51.8741873756148
SP73,EN,470000,230000,-0.982584600108051,51.9640814023839
SP74,EN,470000,240000,-0.98054432530295,52.0539739909811
SP75,EN,470000,250000,-0.978493336659602,52.1438651421323
SP76,EN,470000,260000,-0.976431559329538,52.2337548565729
SP77,EN,470000,270000,-0.974358917746785,52.3236431350481
SP78,EN,470000,280000,-0.972275335619326,52.4135299783125
SP79,EN,470000,290000,-0.97018073592043,52.5034153871302
SP80,EN,480000,200000,-0.843992013456231,51.6930609639829
SP81,EN,480000,210000,-0.841696232245983,51.7829535847708
SP82,EN,480000,220000,-0.839388457963436,51.8728447489719
SP83,EN,480000,230000,-0.837068607476394,51.9627344571693
SP84,EN,480000,240000,-0.834736596861291,52.0526227099547
SP85,EN,480000,250000,-0.832392341393848,52.1425095079281
SP86,EN,480000,260000,-0.830035755539581,52.2323948516982
SP87,EN,480000,270000,-0.827666752944178,52.3222787418821
SP88,EN,480000,280000,-0.825285246423745,52.412161179105
SP89,EN,480000,290000,-0.822891147954902,52.5020421640004
SP90,EN,490000,200000,-0.699354058125584,51.6915488743782
SP91,EN,490000,210000,-0.696771153385389,51.781436639195
SP92,EN,490000,220000,-0.69417475679694,51.8713229281693
SP93,EN,490000,230000,-0.691564774851086,51.9612077417441
SP94,EN,490000,240000,-0.688941113148666,52.0510910803701
SP95,EN,490000,250000,-0.686303676389993,52.140972944505
SP96,EN,490000,260000,-0.68365236836419,52.2308533346135
SP97,EN,490000,270000,-0.680987091938367,52.3207322511676
SP98,EN,490000,280000,-0.678307749046651,52.4106096946461
SP99,EN,490000,290000,-0.675614240679052,52.5004856655347
SS10,EN,210000,100000,-4.69581932099233,50.7683934374415
SS14,EN,210000,140000,-4.71669896430581,51.1276844798792
SS20,EN,220000,100000,-4.55416058713436,50.7715839743166
SS21,EN,220000,110000,-4.55906903062552,50.8614195646398
SS22,EN,220000,120000,-4.56400266524552,50.9512534184333
SS30,EN,230000,100000,-4.41247683075686,50.774602577203
SS31,EN,230000,110000,-4.41711368754639,50.8644477858396
SS32,EN,230000,120000,-4.42177434547311,50.9542912947817
SS40,EN,240000,100000,-4.27076943258897,50.7774491762047
SS41,EN,240000,110000,-4.27513454358498,50.8673034562229
SS42,EN,240000,120000,-4.27952206425178,50.9571560712984
SS43,EN,240000,130000,-4.28393214580806,51.0470070204817
SS44,EN,240000,140000,-4.28836494087777,51.1368563028194
SS50,EN,250000,100000,-4.12903977481783,50.7801237053885
SS51,EN,250000,110000,-4.13313299019354,50.8699865094462
SS52,EN,250000,120000,-4.13724722238439,50.9598476812257
SS53,EN,250000,130000,-4.14138261324233,51.0497072200097
SS54,EN,250000,140000,-4.14553930593788,51.1395651250788
SS60,EN,260000,100000,-3.98728924100406,50.782626102789
SS61,EN,260000,110000,-3.99111042021357,50.8724968831581
SS62,EN,260000,120000,-3.994951222079,50.9623660618235
SS63,EN,260000,130000,-3.99881177907058,51.0522336382847
SS64,EN,260000,140000,-4.00269222489023,51.1420996120416
